date,price
2015-01-31,374835.70765056164
2015-02-28,343941.4857961416
2015-03-31,384093.8286144363
2015-04-30,428715.59538450383
2015-05-31,341711.13468263665
2015-06-30,342566.6564260452
2015-07-31,434088.8459035747
2015-08-31,394354.6424405514
2015-09-30,333363.8875408592
2015-10-31,384820.30987160595
2015-11-30,335376.12390638544
2015-12-31,336115.22172319656
2016-01-31,372354.52383471193
2016-02-29,265447.09887822124
2016-03-31,275719.9203401603
2016-04-30,334706.1363584642
2016-05-31,313033.6576584925
2016-06-30,380242.28115967824
2016-07-31,319983.41160855483
2016-08-31,295624.13117255166
2016-09-30,440376.45554009476
2016-10-31,356659.90292439115
2016-11-30,372179.829037815
2016-12-31,298420.71034744685
2017-01-31,343293.6842865614
2017-02-28,376913.65085301467
2017-03-31,314672.5433511071
2017-04-30,391861.8239942067
2017-05-31,343899.6894356837
2017-06-30,360201.637296661
2017-07-31,345555.69502955576
2017-08-31,469109.63572117337
2017-09-30,376675.56611353066
2017-10-31,325319.5817573332
2017-11-30,420187.0746649885
2017-12-31,318872.34741597885
2018-01-31,391212.41051946854
2018-02-28,283640.42542994284
2018-03-31,316069.330033711
2018-04-30,393176.3951267895
2018-05-31,421111.3631878047
2018-06-30,393611.1491022336
2018-07-31,380115.02177802386
2018-08-31,371696.9519726723
2018-09-30,313680.7380884662
2018-10-31,352469.32804180303
2018-11-30,366284.30076824996
2018-12-31,443027.05148188595
2019-01-31,408206.5555040641
2019-02-28,303728.3341122052
2019-03-31,408939.2412047825
2019-04-30,374335.6295689278
2019-05-31,360598.3444291465
2019-06-30,425882.9597411887
2019-07-31,447703.8222786437
2019-08-31,443572.55296435696
2019-09-30,355902.3717021159
2019-10-31,383257.329925388
2019-11-30,416135.82114282774
2019-12-31,449204.6067834684
2020-01-31,377323.3393897868
2020-02-29,392853.8033035613
2020-03-31,347674.7042911516
2020-04-30,344035.82264212036
2020-05-31,445327.1458205646
2020-06-30,473367.5569840967
2020-07-31,402809.7503312397
2020-08-31,457441.60215955845
2020-09-30,426201.4593720398
2020-10-31,376718.3712441028
2020-11-30,427898.8401044805
2020-12-31,487585.58900705917
2021-01-31,409747.15958296397
2021-02-28,490625.3451838627
2021-03-31,282260.608043376
2021-04-30,455197.68932132534
2021-05-31,419309.6183691735
2021-06-30,400861.59828867245
2021-07-31,421254.7054934418
2021-08-31,318142.9217913229
2021-09-30,407392.47398419277
2021-10-31,437086.39780635654
2021-11-30,493980.1723225459
2021-12-31,395026.6600264886
2022-01-31,381370.19165021245
2022-02-28,397561.7204703458
2022-03-31,469274.3793893772
2022-04-30,440796.5298419586
2022-05-31,398725.6650253233
2022-06-30,451731.74772404385
2022-07-31,431776.95439047896
2022-08-31,476210.0273044222
2022-09-30,393529.823938611
2022-10-31,413104.0721572911
2022-11-30,410736.47268527246
2022-12-31,358020.83378997527
2023-01-31,446857.2959045109
2023-02-28,445958.7465149774
2023-03-31,434016.3565928068
2023-04-30,422886.0279466273
2023-05-31,364701.5483675648
2023-06-30,415292.5201865184
2023-07-31,420043.76135314873
2023-08-31,397920.32457310706
2023-09-30,430824.6033055884
2023-10-31,459946.13258431666
2023-11-30,534907.5856588171
2023-12-31,450181.8820945834
2024-01-31,455185.21184383053
2024-02-29,439440.0973740848
2024-03-31,348078.53325214196
2024-04-30,443546.101099334
2024-05-31,448738.0062235471
2024-06-30,569743.302205461
2024-07-31,437817.8491968413
2024-08-31,463367.9654072789
2024-09-30,447409.710660037
2024-10-31,391566.0981190234
